,class,text
67,0,I Need 694 Coins for 49M
68,0,buying 694 coins for 49m
69,0,Buying 694 coins for 49mil
70,0,/r no im making the big one
71,0,"anyone wanting to buy an august pickaxe, shovel or max enchanted pluto boots?"
72,0,/marry listpriests
73,0,anyone wanting to buy august shovel or pick?
74,0,bird pls give me trust
75,0,anyone want to buy august shovel or pickaxe
76,0,"i did .set Flower Casino _Whizzy26, but doesnt let me, i dont have permission"
77,0,/msg _Yuil1827 10 coins each is worth 60k?
78,0,want to buy an august shovel or pickaxe?
79,0,anyone wanting to buy max enchanted pluto boots
80,0,/wild nether
81,0,pluto boots for sale
82,0,ok I found a problem
83,0,im not typing in swears and its saying dont swear in chat
84,0,I
85,0,bird can u give me trust pls
86,1,oh shit i was flying
87,1,ur a pussy
88,0,/msg __sussy baka hi
89,0,which side is extra?
90,0,which side is extra
91,0,dude Cx123 i
92,1,/r ass
93,0,idk what i do with his expired claims
94,0,"/msg thefathergamemc um, maybe it does not work in nether?"
95,0,/marry sex
96,0,"if you do skaapcore there is a half built skyscraper i built on my old acc, and i didnt hire any builders bc of my trust issues"
97,0,lunar the first vote link mcservers.org didnt work for me
98,0,/msg mush i think not
99,0,/msg mush i think you are a dude tho
100,0,/msg dias its expensive on ah
101,0,/msg dias its expensive
102,0,its expensive
103,0,/r i dont know how but i just watched jaws for the first time lmao
104,0,/msg LunarO_o i just watched jaws for the first time lmao
105,0,west pakistan :)
106,0,west pakistan
107,0,i miss my skyscraper :(
108,0,i miss my skyscraper
109,0,how is skyscraper swearing game?
110,0,finish it
111,0,/r im gonna finish it tmrw
112,0,/msg Lilttlejoey whatever u built in shadicas claims will expire eventually
113,0,/msg PotatoPie777 Ur actually kinda close XD
114,0,/r its expensive
115,0,/sethome skyscraper
116,1,your welcom bitch boi
117,0,"war sorry, last time i let a rando farm at my farm, bro took out water sources"
118,0,i have coons
119,0,<item> is this expensive?
120,0,/msg _nickj can i get like 40m you can take my pic untill i give you money
121,0,/msg _nick you can take my void pic until i give you your money
122,0,/msg _nick take my pic until
123,0,sex
124,0,sexy
125,0,why everything is expensive nowww
126,0,whyy stuff is expensive noww in shop
127,0,perferbally a person with a frog skin or a person with a frog onesie skin if not it does not matter
128,0,call_911 why everything is expensive
129,0,why everything ..is. e.x.pens.iven.o.w
130,0,ngl kind of a genius
131,0,tbh kind of a genius
132,0,i was trying to be nice in pvp but everyone always hits me
133,0,i was trying to be nice but everyone always hit me
134,0,thanks hitsuya ig
135,0,athena needed barrier pick its expensive on ah then /cs
136,0,athena buying barrier pick its expensive on ah then /cs
137,0,athena buying barrier pickaxe its expensive on ah then /cs
138,0,damnnit my laptop is exploding soon if my fps drops below 100
139,0,911 we have a pervert here with a fishing rod pls mute hime
140,0,5-7m is extremely low
141,1,whathefuck u hacking
142,1,how whathefuck u r hacking
143,1,browhathefuck ur hacking
144,0,new spawners means hard to get and means expensive to get
145,0,join my smp server server adress: thunderxdsmp.minehut.gg
146,0,what dus experience points do
147,0,do i fill it up with twater?
148,0,do i fill them up wiht water to?
149,0,ur disco one
150,0,/r ok i will keep roads
151,0,il use xp
152,0,/msg _republicov i cant say il use xp in chat
153,0,/msg _republicov it wont let me say I L U S E X P in chat
154,0,@Hitsuya_Myamizu good i am 3weeks extra free from school
155,1,What the fuck are you doing with the chicken- -Drietje
156,1,What the fuck are youdoing with the chicken- -Drietje
157,0,how to disable flags?
158,0,ok final offer 60k plus blow job
159,0,it is if u throw it at the ground or drop it to make it vanish i think
160,1,i dont see shit
161,0,sugar.inc
162,1,/msg cc it was a game dumb ass
163,1,how the fuck are you teleporting through ny doors?
164,0,/r it
165,1,then fix this ugly ass base
166,1,no shit
167,0,i am farming dirt because its expensive
168,1,how the fuck ur here???
169,0,anyone have builders pick i can buy? ill pay 55 million
170,1,walter fuck you
171,1,walter fuck y0u
172,0,Gboss 100 coons for it
173,0,you guys are putting disco on ah for like <10 mil
174,0,you guys are putting disco on ah for like below 10 mil
175,0,you guys are putting disco on auction for like below 10 mil
176,1,frog why are you so horny
177,0,what is 3x sell mulit harv hoe worth
178,0,what is 3x sell mulit harv worth
179,0,what is 3x sell multi harvester hoe worth
180,0,pvp is so dead
181,1,one more time saying ew en then l will kick yo ass
182,0,/r yes except me
183,0,/r Like 600k for 1 key and I
184,0,/r Like 600k for 1 key
185,0,/msg PotatoPie777 what were his exact words
186,0,holy shi tami you
187,0,Completely forgot Asxolotl skins existed ;-;
188,0,i sell cheap shulker and i have a free to use xp grinder
189,0,/r i sell cheap shulker and i have a free to use xp grinder
190,0,/r i sell cheap shulkerboxes and i have a free to use xp grinder
191,0,im buildign a skyscraper
192,0,im building a skyscraper
193,0,i wanka team
194,1,/r holy shit
195,0,that
196,0,did you build a house ontop of your base XD
197,0,stinky /tags
198,0,i gave.it
199,0,It is roughly about 27439 per shulker for me to make speed potions Excluding bottle prices
200,0,It is roughly about 27439 per shulker for me to make speed pot1ons Exclvding bottle prices
201,0,can someone tp me.to them i just started.this map
202,0,is xmendoza800.ater nos.me
203,0,yes pick it up before despawn
204,1,/r its a shit show
205,0,no it is for execute and his teamates
206,0,this is for execute and teamates
207,0,this for execut and team
208,0,100 coons for the shovel
209,1,what the fuck!
210,0,is execution online
211,0,is executoin online
212,0,is exucution online
213,1,HORNY JAIL
214,1,H ORNY JAIL
215,0,idk where i found this one i think a viewer gave it to me since it looks exactly like me
216,1,horny jail -alpha wolf_
217,1,horny jail alpha wolf
218,1,/msg _PrinceReester to fuckking bad bro get a grip
219,0,is execution onlien
220,0,is execution
221,0,i need 100b to buy 100k coons
222,0,bluejuice is the reason inappropriate items and meme items exploded
223,1,ass
224,0,ICE yo shop is expensive i seen a shulker box shop thats wass selling them for 500
225,0,ICE bestbuy is expensive i seen a shulker box shop thats wass selling them for 500
226,1,oh shit but i have boyfreind
227,0,/r plus i have acumilated a ton of stuff
228,0,is executive online
229,0,no builds don
230,0,he has exactly 500m :O
231,0,He has exactly 500m :O
232,0,"I just put ""He has exactly 500m :O"""
233,0,"I just put ""He has exactly 500m"" then put that"
234,0,he has exactly 500m
235,0,/heads search obi-wan-kenobi
236,0,/heads search obi wan kenobi
237,0,why hahah i alr got water
238,1,/r he was a ass to me aswell
239,0,/r he
240,1,/rename fuck
241,1,/ah fuck
242,0,Come to the resort of frogs! You can have a good time with someone or yourself for a good price
243,0,/r im trying to buy coins for less then 50k and resell for 60k ive made 10m in the last hour its alot of asking and 1-10 coin purchases
244,0,also btw at 100 visits frog resort gets 100k at 100 visits
245,0,im selling coons
246,0,can i be sexist in chat or no
247,0,is hitsuya here
248,0,bro they made the pandora thing twice as expensive
249,0,they made the pandora thing twice as expensive
250,1,bruh this fucking bullshit
251,0,for.how much?
252,0,all i can do is hit and thats it
253,1,just fucking do /daily its not hard
254,0,what happened to /pw.pvppote
255,0,@here ishop.to sell keys or buy stuff way cheaper then /shop
256,0,u lose xp on death not items
257,0,axalot phoenix.do u.want mending
258,1,/r C U M
259,0,lets pvp in my land? or house XD
260,1,/r oh shit wrong person
261,0,what on earth is tickle fish its lure 4341
262,0,im just gonna watch u
263,0,tpa to me for a peacful cummunitty
264,1,/msg Zemha shit test
265,0,explain what i have to.do
266,0,set water_base
267,0,set water_homes
268,0,"/r eg gjør alt for mitt lag vi skal opp til toppen snart, og du musta på min wave vi kom alltid topp fartDrakten din er het, men bitch jeg er hetare brenner denne jointen ladda for å brenne bre, vi begynte å løpe etter penger ute det var lettJeg sa jeg lev"
269,0,"/msg BlakeMiner eg gjør alt for mitt lag vi skal opp til toppen snart, og du musta på min wave vi kom alltid topp fartDrakten din er het, men bitch jeg er hetare brenner denne jointen ladda for å brenne bre, vi begynte å løpe etter penger ute det var lettJ"
270,0,wait asex
271,0,I swear starbucks hit diff
272,0,starbucks hit different
273,0,/claim flags allow pvp
274,0,right here was my base hers the base ment
275,0,champ is killin pp.ls
276,1,what the actual f_uck
277,0,cube.do you watch sb737 on youtube
278,0,is bubblies execition or crazydude online
279,0,who.is selling coins
280,0,one solar tp too me pls pick up the spawner for me
281,1,/msg RikuYoshidaa nigger
282,1,/msg RikuYoshidaa nigga
283,0,i forgot memelantis exitst
284,0,oh yeah jowy another memelantis skycraper is being madd
285,0,im selling the rights to special.co which gets youthe rights to every meme item that i have ever sold
286,0,raccoon
287,0,raccoons
288,0,/pwarp racoon
289,0,coon
290,0,rename rights to special.co
291,0,ULTRA PENTHOUSE 250K
292,0,Unltra penthouse 250k
293,0,ultra penthouse 250k
294,0,/msg _PrinceReester im trying to use the cheapest materials possible but still its expensive
295,0,/msg _PrinceReester im trying to use the cheapest mats possible but still its expensive
296,0,Ultra pent house is 250k  a night have a good stay
297,0,/msg _PrinceReester im trying to use the lowest cost mats possible but still its expensive
298,0,/msg _PrinceReester im trying to use the lowest cost mats possible still its expensive
299,0,makes the shop less expensive
300,0,amles the shop less expensive
301,0,less expensive
302,0,why is ls expsv a swear word?
303,0,i forgot cosmetics exist
304,0,holy crap 3t???
305,0,tp selling amusement park
306,0,selling amusement park
307,0,msg ing but can we ki..s….s
308,0,msg wheresyourdaddy suckmyballs@gmail.com password myballsack01
309,0,/msg champ_icy dude the mansion by my axo shop is someone elses??
310,0,/msg champ_icy the mansion by my axolotl shop is someone elses???
311,0,/msg Zemha so me and my friend have our claimed spaces and somebody keeps griefing our stuff i have no idea how
312,0,/msg Zemha so me and my friend have our claimed spaces and somebody keeps breaking our stuff i have no idea how
313,0,but somebody keeps messing our stuff up
314,0,/r and the /coinshop trench shovel is a 5by5by5 btw at least it was yesterday when i bought mine its falsely advertised as a 3by3by3
315,0,/r btw at least it was yesterday when i bought mine its falsely advertised as a 3by3by3
316,0,/r btw at least it was yesterday
317,0,imma push it a lil
318,0,can i stop getting the mech pack please xd
319,0,pay icy /.10
320,0,athena dont even start my brain is gonna explode
321,0,tp.me 2 jr farm
322,0,u dont u apply for staff again?
323,0,will u apply for staff again?
324,0,will u be staff again?
325,0,will u be s.taff ag.ain?
326,0,no i close my application to be staff again
327,0,do u just lose xp?
328,0,do u lose xp?
329,0,do you lose xp?
330,1,this game is fuck
331,0,damn thats expensive
332,0,darn thats expensive
333,0,gosh dam thats expensive
334,1,for fuck sake its not swearing game
335,0,thats expensive
336,0,/r thats expensive
337,0,wonky slush :)
338,0,but im not rlly fussy
339,0,bc i went to his exp grinder and he had left a door open i went through the door and he thought i block glitched
340,0,ah he is off again
341,0,i
342,1,fuck
343,0,megaphone sell ur vote keys 1.15m each and daily keys 2.5m each at /.keysarus :d
344,0,anyone want woter fresh woter if your sick then it will make you un sick it even healthy and makes your life less harderthe government even likes it get some woter not water today
345,0,<item> aww it fell off again
346,0,toreto  prosexe  banylog
347,0,toreto prosexe  banylog @
348,1,/r yall fucking w/ me
349,1,/r fuck *
350,0,/r Please XD
351,0,Lilnut i didnt use an alt XD
352,0,i get drunk when that bow hits e XD
353,0,Because Idk if younger players could follow a ton of custom content such as bossfights for example
354,0,Because Idk if younger players could follow custom content such as bossfights for example
355,0,pure ear rape
356,0,r u a witch athena
357,0,r can you go on eupvp.net
358,1,/r diffrent person im married to blake is an ass
359,0,"aside from being sexy, what do u do for a living?"
360,0,if u were. vegtable u would be a cutecumber
361,0,are u a band aid? bc i scraped my knee falling for u
362,1,im so fuking confused rn
363,0,i know of a grinder
364,0,/r ahh idk how fo work that shit
365,1,/r no i fucing dont
366,0,oh well thats expensive for armor but sorry no
367,0,thats expensive so sorry no
368,0,/reply i cant sell my fish it wont work
369,1,mines bitch lasanga
370,0,/bal RockySunshine93
371,0,/msg _pr farm for it i need cash i want to hit 100mill
372,0,/r Honestly. I have my little house and stuff and I
373,1,/msg _pr 1v1 dont be puss
374,0,i poor as shit
375,0,its exactly as it sounds
376,1,"/msg Naarity tp, this kids xraying his ass out"
377,0,come to.shop
378,0,ho are u?
379,0,I was hitting rex haha
380,0,Iwas hitting red
381,0,I can
382,1,ur actual shit
383,0,off again noice
384,0,o o f again noice
385,0,grammar nazi?
386,0,gosh its strong
387,0,its rlky strong
388,0,/helpop I think the armoir stand is hitting me!!!
389,1,no you think i give a fuck
390,0,taxes exist?
391,0,/trust cloudskyss
392,1,im go to kill all you bitch
393,0,can we trade some lapis for bit cheap?
394,0,joanna.hotton@ gmail.com
395,1,SHIT... SO MANY MEMES
396,0,and i was the first ever person to see what august crate gives expect lunar and the people who made it
397,1,/r fuck 10 votes
398,0,You will lose XP on death
399,-,omg a villanger just spawned on my ass in resource world! i jumped! :D
400,0,please me new
401,1,a man have a ugly shit house
402,0,buying infini concretes except pink or magenta
403,0,buying infinite concretes except pink or magenta
404,1,lucs i can ass some builds if u want
405,0,or even trapezoid
406,0,trapezoid is yes
407,1,ur literal shit
408,1,Damn i spawned right next to a huge ass base
409,1,Dang i spawned right next to a huge ass base
410,0,so how farms works without water
411,0,farms work with out water
412,0,farms work with out water?
413,0,farms with out water?
414,0,u aint selling tho are u?
415,0,u arent selling that tho are u?
416,0,u aint selling that tho are u?
417,0,shop is so expensive now
418,0,anyone want a skycraper thing?
419,0,anyone want a skyscaper thing?
420,0,anyone want a skyscaper
421,0,"Para pegar un clip en el cuadro de texto, tócalo."
422,0,making flags on ur claim msg me
423,0,making flags in ur claims
424,0,/warp pornd
425,1,cane you spick Indonesia
426,0,ill be there in a sex
427,1,no way no fucking way
428,0,/pc I was hitting then when I had nausea which is almost impossible
429,0,/pc listen I was hitting them when I had nausea
430,1,fuck fortnite
431,0,lava + water
432,0,5 seconds exactly lol
433,1,yall r so horny
434,0,Hop u Be alive and Well
435,1,and mate you fuckingg hit me with a op fucking sword dumbass and all i had was a wood axe that i miss clicked on
436,0,According to /vs 3 mending is = to A Igs
437,0,can i have bucker
438,0,pu tit in shulker
439,0,I can plant carrots without water
440,0,I can plant carrots without wate
441,1,nigg er
442,0,i cant stay afk cuz i have a shit connection and i will crash after 15m
443,1,/msg _Latte fuck u
444,1,the popular girls pissing me off
445,0,im def not watching netflix when i break
446,0,DOnt watch
447,0,sh it i only have 7k nvm
448,1,go buy shit of him
449,1,oh shit
450,1,/msg _NickJones1500 no then i get a shit price for it
451,0,xD i selled my base long time ago and quit lol now i have no base xD
452,0,godslayer.do you have pvp armor
453,0,this is the scrotum
454,0,A 20 Million ig spawner will take 20 Real Days worth of AFK time to pay for it self
455,0,A 20 Million ig spawner will take 20 Realdays to pay for it
456,0,✦ 1.3 Advertisement You can not advertise any other Minecraft or Discord server. It
457,1,fuck it i would offer 200M
458,0,penix can we team
459,0,are there any player warps for exp levels
460,0,hwo much is licky shovel worth
461,1,/msg _davidx2104259 I have mixed feelings like he is so sweet but what we said yesterday uhg pisses me off
462,0,rename twitch.tv/fire_and_oil
463,0,realname twitch.tv/fire_and_oil
464,0,realname twitch.tv/fire_and_oilll
465,0,/r i have to get it watered before u can till it
466,0,rename we are streaming at twitch.tv/fire_and_oil
467,0,rename ./megaphone we are streaming at twitch.tv/fire_and_oilco&#
468,0,also sounds WAY sexist
469,1,Well fuck
470,1,no fucking cap
471,0,ur gonna find urself a gold digger
472,0,is chat dead or?
473,0,Because XJ you are a Cel-ect few HAHAHAH
474,0,Because XJ you are a Cel-ect few \
475,0,Because XJ you are a Cel=ect few \
476,0,because XJ you are a Cel=ect few \
477,0,paying someone 1m to vote for me on mc.buzz
478,0,/msg p0wwered il do it
479,0,msg _utile i cant vote on mc.buzz bc i have a vpn
480,0,The bar is EXP levels which is used for enchanting
481,1,front is shite
482,0,yea like a month and a half ago
483,1,/r damnn thats some ass
484,0,anyone sellin a vois pickaxe?
485,1,"Im retarded, thankyou guys lmao"
486,0,bruh hendy keeps going broke
487,0,as expected
488,0,tp.me in 5 seconds ok?
489,0,cheap enchants all maxed donations excepted
490,0,cheap max enchants donations excepted
491,0,giga chad
492,0,type https://bit.ly/3ptaiig
493,0,type https://bit.ly/3pt aiig
494,0,<item> is this kit is has expired?
495,1,Ive done my ass off
496,1,and my command buttons dont work so i cant screen shit
497,0,also my command buttoins dont work so i cant screenshit
498,1,/r bitch
499,1,/r fuck
500,1,this city is just shit
501,1,for this nigg a
502,1,chese bitch
503,1,bi t ch
504,1,kcuf meansfuck
505,0,/r then it
506,0,idk i hope whoever buys them from me throws extra
507,1,s5op u niger
508,0,is sex good
509,0,atleast watch
510,0,guys try to say atleast watch
511,0,its gets expensive:)
512,1,a fucking liar
513,0,whp has exp
514,0,im actually watching shorts from cosmos.mc youtube
515,0,is cosmos.mc discord online?
516,0,cosmos.mc discord
517,1,god fucking dammit
518,0,i put tabasco on bread
519,0,i put tabasco on bread
520,0,mine r 4 periods which r 80 min long
521,1,/r so einführung und so shit
522,0,/r Oh now i feel worse xD
523,0,Rn Ig
524,0,My trap worked omg
525,0,My Trap worked omg
526,0,My trap worked
527,0,my trap. worked omg
528,0,A new project is being made! Shopscraper will be a skyscraper where you can buy plots to make your own shop! It will be in memelantis! It will be released within October 17!
529,0,In October Shopscraper will release to the public! It will be a skyscraper with plots you can buy for your own shop! It will be in memelantis! Have a good rest of ur day :D
530,0,/msg lilnut69 why is shopscraper a swear word
531,0,/msg lilnut69 why is shop (put a s here) scraper a bad word
532,1,/msg iagent fuck dont have pandora butt how do you make money
533,0,though i have my own house XD
534,0,uh i have my own house XD
535,0,/r lets just say all of my friend add up our money and one of us hits 1b
536,1,nigger faggot
537,0,put water in each hole
538,0,put water in hole
539,0,put water
540,0,"the thing is ""claims"" exist"
541,0,claims exist
542,0,msg _darkness2921 angelsas14.aternos.me
543,0,whenever i see a vape i buy it and i smash it
544,1,/msg ingr yeah and do they think you do not have a life bc if they do i am so pissed off!
545,0,/msg ingr its just my friend local but he didn
546,0,r sell 3.000.000.000
547,0,ah sell 3.000.000.000
548,1,holy shit noice br o gal
549,1,/r its to late for this shit
550,1,/msg Cameron927309 did you now that lul in dutch means dick
551,0,Source i only have candys but its expired so you still want? :}
552,0,/r Please xD
553,1,how these niggers got into my base
554,1,U FUCK
555,1,_EvilGuy shut up ur 8 year old ass
556,0,/login penis
557,0,/login penis1
558,0,/login penis123
559,1,/login fuck
560,1,/login fuckme
561,1,/login fuckyou
562,1,/login pussy
563,1,/login asshole
564,0,/login sexy
565,1,/login fucker
566,1,/login horny
567,1,/login dick
568,1,/login bitch
569,1,/login bigdick
570,1,/login blowjob
571,1,/login bigtits
572,1,/login porn
573,0,/login sexsex
574,1,/login fucking
575,1,/login shithead
576,1,/login fuckoff
577,0,/login tits
578,1,/login cock
579,0,/login porno
580,1,/login bitches
581,1,/login cumshot
582,1,/login cunt
583,1,/login slut
584,1,/login bullshit
585,1,/login shit
586,0,tf.is shool
587,1,omfg piss off
588,0,let me.rip ur eyesballs out ender..
589,0,i was exploring and i saw your base
590,0,Wow Ty BoobietskY for selling 28 v keys
591,0,staff got pissed :/
592,0,is that for water?
593,1,i got sac phone number ass well hhahaha
594,0,Even some  moderate  rainforests exist in the Andes.
595,0,Even some rainforests exist in the Andes.
596,0,Even some rainforests exist in the Andes
597,1,u leave bitch
598,1,no one is saying shit
599,0,baby we build this hpiss on memory
600,0,Localperson985
