index,class,message
66,0,What kind of server has to pay for rank this server sucks
67,0,My bunghole killed the chat
68,0,totoro you just geraly suck your cant fight without pots
69,0,"i dont want to be a pain in the butt, but how do i breack a spawner and make it drop?"
70,0,mining sucks so bad in this new version
71,0,soryy but bate doesnt want to give us stuff back and hes pissing us off whit his money bets
72,0,i suck at building xD
73,0,I Have lower back pain. it sucks
74,1,damn i got a big ass head
75,0,for me (buged) 4 votes = 2 votes it sucks
76,1,what ya guna shov a sword up me ass
77,1,WHo wants to suck my P44ssy????/ free
78,0,where is that guy that bough tit
79,0,ugh playing while my phone is charging sucks
80,1,cause his pissing me much
81,1,bam me suck my nuts bannnnnnnnnn
82,0,griefers are suck and 0iq >:)
83,0,athema ik its funny butt whyyyyyyy
84,1,sac i have ass armor
85,0,ik im practcing aim i suck
86,0,why does my framerate suck so much here lol
87,0,my axe mcmmo sucks too
88,0,hardcore fishing ppl check out /pw pier
89,0,guys punza is right pvp is just so rude nowadays like its either u drop down and u get killed almost instantly or u get 1v4ed and its sucks because lunar dosent care
90,0,dont buy celstial rank first it suck no Wekly income
91,0,s/c i use both normal luncher sucks
92,0,alr so i kinda suck at redstone
93,0,havent installed the ram upgrade in my laptop so my framerate sucks
94,0,the cactus breaking sucks lmao
95,0,[Rat Co. Wings! x 1] suck
96,0,[Rat Co. Wings! x 1] Suck!
97,0,Yeah but the blocks they give suck
98,1,you see these nice ass yeezies?
99,0,for me is a 0.00% to get coons
100,0,raising my son workin my butt of
101,0,i work hard and i dont get coons
102,0,you can just ge tit for free
103,1,All of u fisting me does nothin
104,0,it is normal cel armor this suck
105,0,called me trash and I suck
106,0,Hey you! yea you! are you new? do you want easy cash and xp? then you better get ya butt over to /pwarp newplayers. what are ya waiting for? you're only getting broker by not! also buying daily keys 1m per and infinite keys 9mil per!
107,0,who wants to rap3 me
108,0,i want someone to rap3
109,0,Techno sucks his just good for food
110,0,needed one of these hardcore
111,0,dont even butt in hamborger
112,0,Ashoka wheels are not blue butt it's okk
113,1,shawnboy get your ass here
114,1,_shawnyboy he is ass thinks he own me
115,0,"./kit sorry is going poof in 5 minutes, use it now"
116,0,yea i do butt i dont wnat to go first
117,0,i suck at math but science is my thang
118,0,But problem is i suck at pakour
119,0,what do u get if u ge tit right
120,1,dont make me touch ur butt
121,0,i suck but atleast protected
122,0,unless you suck at bowing is not my problem
123,0,bru prot 4 sucks so much
124,0,rule number 1 shawn suck in pvp
125,1,he would not beat my ass tho i am a good runner
126,0,bro ECL suck in pvp he has to egap against me
127,1,*Spenjo_ died of natural causes and lack of a brain cos he's an ass*
128,0,dont get ur bases greifed it sucks!!
129,0,xx bro do /flags setclaimflag allowpvp noww
130,0,i already abandoned my town to everyone since it risky i dont need my old city its suck
131,0,"xx wana buy a cactus, farm"
132,0,xx i can giwe u a free house
133,1,and those who didn't gave any gifts feel pain in your ass
134,0,dont judge me I suck at building
135,0,sucks that their is no pvp
136,0,my aim sucks rn bc i just woke up from a nap lol
137,0,whelp yall make pvp suck
138,0,is there any casinos where i cna make coons
139,0,bro youve been pissing me off in discord for the past few days
140,0,just rememberd why the pluto crate sucks
141,0,yall really make pvp suck lol
142,0,o i suck at interior decorating
143,0,"dorms suck, the aprtments are nicer"
144,0,My name sucks u see that!
145,0,hey you /warp end wee are suck at killing it
146,0,rex im seling 88 coons
147,0,worse my grammar suck ty
148,0,they suck they will just run
149,0,dark why do u suck rn
150,0,Sry i suck at building
151,0,sure but i suck at building
152,1,suck my dolick and balls
153,0,oh btw internert sucks here
154,0,or I'm just suck at pvp
155,0,this sucks what if wanted to take over the server
156,0,hardcore tp to me so u can join my 3mpire
157,0,not that lond then poof 60k
158,0,bro my pvp sword does 14 your must suck
159,0,oh dam that sucks she allowed here all the time if she wants
160,0,o kinda suck at pvp lmao
161,0,bruh this server sucks people always tryin to act like im scammin them
162,0,i've sold 11 strider spawners for 65M xx
163,0,even though your armor sucks
164,1,bro say i am ass becuse he got better stuff
165,0,it all went poof after /spawners
166,0,I wonder hes still suck at pvp
167,0,why does redstone suck so much
168,0,Pls guys help me i got raided i lost all my 1 year hardcore stuff and my base is raided
169,0,this server issent on hardcore
170,0,im having a lot of s3x
171,0,but my trashy unench armor kinda sucks
172,1,ssam0930 is harassing me sith s3xual messeges in chat pls help!!!!
173,0,but you suck at landscapeing
174,0,ik its not like super good but I worked my butt off after school so
175,0,any1 whitout town butt whit house wanna team
176,1,get uo ass to /pw iceshop for 100m
177,0,oof i suck with redstone lol
178,0,selling 20 coons name your price i also trade
179,0,how do i get a wank?
180,1,DiastolicTrain0 It's dead ass 5m now
181,0,it was a lime shulker box that went poof
182,0,but mine went poof out of existence
183,0,my inf stonebrick block went poof!
184,0,my inf block went poof!
185,1,u suck i would not be talking
186,0,Bruh i try eating bell pepper now my butt is burning T_T
187,1,na yui is being an ass
188,0,"then when i say their names, theyll just get up and either head butt me or my computer"
189,0,bruh i suck at this [[VIOD INGOT] x 1]
190,0,scared to die again cause u suck at this game?
191,0,Gh0ste_ that must rlly suck since ghosts are made of milk
192,0,damn my resort does suck
193,0,yet people never want to stay here they say its ugly and bad not good enough and welp it kinda sucks to hear it
194,1,I cam back online after sleeping and boom whole thing gone with a sign saying you suck hah
195,0,gonna change back cuz it sucks xd
196,0,I need it i suck at building a base
197,0,Just follow my steps dont Buy celestial It suck cant give u money
198,0,getting the same price as 10th place sucks
199,0,one more time en l will kick ya butt
200,0,cred get you butt down here and start minin XD
201,0,ghoste is world domination allowrd
202,0,i told you i suck lmao
203,0,"I can't spell today, it sucks."
204,0,ngl bedrock pvp sucks LOL
205,0,i suck at pvp now i quit
206,0,It literally sucks bro they just frickin one hit me and i havent EVEn get a chance to hit them what
207,0,kinda sucks that higher ranks get priority to drops
208,0,ill do it butt idk what red it was
209,0,it comes out thens goes poof
210,0,which sucks but oh well
211,0,dang mod just tryna snatch 30m from me
212,0,These New player suck They dont even sell There coins man
213,0,trench does suck only good for tilling
214,1,but better than shitty samsung
215,0,When your out of school it sucks because or responsibility and stuff
216,0,this house sucks the back is broken
217,0,yeah but thy suck they all only have unbreaking 1
218,0,bc exams suck my life
219,0,I donno i got it from my Butt
220,0,are u doing world domination
221,0,loving that frogs even wanna do world domination
222,0,k don't have farm there it sucks
223,0,@ninja6 u suck for stealing
224,0,100ms on my screen sucks idk how
225,0,why do i have hardcore hearts here?
226,0,i bought /condense thinking i could turn 1 ingot into a block but this sucks
227,0,im preparing for world domination
228,0,"Uh yes, I offer my, uh... my butt"
229,0,cuz i dont want my armor to go poof
230,0,i suck at renaming stuff ;-;
231,0,errmmaaggad. Placing 4k water blocks sucks
232,0,its soo hard for me XX
233,0,im planning on world domination
234,0,my phone sucks with frams lol
235,0,BRO powered ur actually overpowere bu dum pchhhhh nvm my joke sucks
236,0,dang bruh i kinda suck
237,1,Cool_charlie hes not cool hes a rapist
238,1,i agree hes not cool but he isnt a rapist
239,0,i swear to jesus christ my luck sucks
240,0,sucks to have an underscore in your name SMH...
241,0,i dont even count cause first i suck second my armor suck so im useless
242,0,i am a hardcore grinder
243,1,the bastard didnt dropped them
244,0,im not proud of it the one that sucks thats all you need to know
245,0,why did my vote crate rewards suck so badly today
246,0,oh I suck at building
247,0,althoguh my stuff sucks. ccan we do a no armor pvpp?
248,0,ngl bedrock sucks the only good thing going for it is prob more FPS and RTX and those you can get on java with shaders and mods
249,0,i got it when it was 25M xx
250,0,there is no suck thing shan
251,0,does it just suck every drop from the chunk
252,0,it sucks with all the crates
253,0,am you suck and are the meanest ever (except darkend) d:
254,0,you suck so bad at pvp
255,0,i suck on mobile im good with controller
256,0,i suck on mobile im good on controller
257,0,alr pandora crate sucks now
258,0,"regarding out miserable attempts of unscrambling the word, i can conclude we suck"
259,0,but my base sucks XD
260,1,dude was literally all over his daughters butt during the funeral on the news
261,0,finna hop on hentai colouring game ong
262,1,im gonna smsh ur butt rep
263,1,im gonna smash ur butt repub lollol
264,0,the ios 16 update sucks so bad on iphone
265,0,i got good aim tho i suck at pot pvp
266,0,i suck at pvp but atleast i dont suck at pvp
267,0,i just watched one suck it in
268,0,"right now, the pandora crate sucks"
269,0,The Chunk Hopper says it sucks all the items out of a chunk that you filter... Does that mean it lets you choose which blocks it takes?
270,0,"what is it that sucks about /jobs, the skill tree reward income? Or the actual job income? Like place a block earn x money"
271,0,dangit... 700 limit on redstone sucks
272,0,u dont cuz guardians suck
273,0,im holding my grudge hardcore
274,0,That lag saved my butt
275,0,men know that both ps4 and xbox suck
276,1,the ppl who are butt naked and crouch at /warp pvp are 99.9% begging
277,0,u good at pvp? i suck at it
278,0,[[ AceYard71471176 sucks] x 1]
279,0,odk the 2 spawner suck no 3
280,0,high level bow but i suck at aiming lmao
281,0,the hunt for zombie pigmen sucks
282,0,this server sucks worst than i suck you
283,0,i doo butt i saving for crate :/
284,0,i have poof we 8 panda at my private house and one name is _le_goose
285,1,bruh north korea sucks a**
286,0,aww man the enchants suck
287,0,"TSB, a crate has always been a gamble. if you have been unlucky, suck it up! and move on!"
288,0,this is your fault the economy sucks
289,0,life isnt fair school sucks
290,1,[@TSBXxNickXx you suck x 1]
291,0,"regarding our futil attempts of unscrambling the word, i conclude we suck"
292,0,Bend Ur Back And suck my-
293,1,yee he sucks get him
294,0,bruh i hate this phone sucks
295,0,bro lunar sucks at events
296,0,[[EVO'S COOKIE RECIPE] x 1] this sucks
297,0,nah it still sucks its a kinda a dead life kinda broing
298,0,so basically they suck now
299,0,gv asgfdhxscg bvfchjb njgffoubn egde sxbvgudgxzfhv uhgggyhtvurtbgnyfdrrrsaw3zzRSrwt[[[xxx
300,0,it kind of sucks to have a cactus farm D:
301,1,idc LostNooby stop tht or else ur suck
302,0,Goats suck since they cant virtual
303,0,hardcore snd is so toxic
304,0,butt i have money in items just ppl no buy
305,0,this gold helm really sucks
306,0,you say that now and POOF you changed your mind
307,1,grindin 69 levels over and over sucks balls
308,0,i suck at healing potion style
309,0,which mcmmo skill sucks the most?
310,0,i had no bed falcon you suck
311,0,you have less rn even though u can make money in a poof
312,0,ur rude for saying they suck m8
313,0,To inform you I suck at building
314,0,damn that sucks sage here 5 mil
315,0,oh the second one sucks
316,0,you have an arrow in your butt goose
317,0,i suck at parkour lol
318,0,it should suck it up like a pokeball
319,0,are threesome's a thing in this game?
320,0,why would you add a 's after threesome
321,0,because you said threesome is not threesomes
322,0,Bruh Stoo Showing your butt
323,1,I sent you a mil you greedy bastard xD
324,0,rxrx lol its old prices suck it up
325,0,"Being an adult is both nice, and sucks at the same time"
326,0,"alice, farm more, believe me pandora will suck if you dont have the funds to invest"
327,1,capybara god can suck my balls bc im better
328,0,just lemme know when u want priv lessons xx
329,1,cx kicked my butt so much times with that asskicker
330,0,why does my pick up suck so bad
331,0,yea me to i suck at pvp
332,0,hardcore sir plz come here
333,0,hardcore sir need more thing
334,0,hardcore sir i need cuter
335,0,hardcore u will add color glass or plane
336,0,cx kicks my butt while i spam lol
337,0,but Cx123 kicks my butt xD
338,0,wont let me that sucks
339,0,pvp without pots sucks xD
340,0,a55 thy3k a5r shay xD
341,0,you guys suck at pvp?
342,0,nah the people in pvp suck
343,0,atleast they arent suck at school/work ._.
344,0,kuukenaars i suck at building
345,1,il suck u hard daddy
346,0,hardcore - you still need help?
347,1,i got it from a crate and have seen people sell a full set for 60-100m brokim suck on my left one for me
348,0,aw i suck at parcore
349,0,how do you setup lava machine hardcore
350,0,bruh inf black concreat sucks
351,0,i really suck at pvp
352,0,and you hardcore how many money you have
353,1,lunar sign my freinds boobs
354,0,i kno i suck dont rub it in
355,0,diamon armor sucks now ;-;
356,0,i need help with world domination snow
357,0,the way you make raw iron blocks suck
358,0,who wants a butt ton of gold?
359,0,that sucks 40mil for a cos key
360,0,go to make a mini version butt is big too but it's going to be smaller than this
361,0,why u said butt insted of but
362,0,i suck at pvp really bad
363,0,i have 618 coins butt dont have rank 1 i need votes please vote for me
364,0,yea slap me cause u suck
365,0,dang sucks i didnt get a pandora key xd
366,0,i mean it half sucks cuz if its found 3 times it can reward u to improve ur mining
367,1,bro dropping items sucks balls
368,0,Humpy guess we suck at spelling :')
369,0,the knock back kid sucks
370,0,if you use knock back u suck
371,0,nah those suck for pluto
372,0,"u say we all suck at pvp but then u wont fight in a real, balanced, duel"
373,0,then turn around and say we suck
374,0,mf wants a divorce hardcore
375,1,I am sorry but I am not a bastard
376,0,mental problems cant be fixed by staffs hardcore-
377,0,i suck just friends with ppl
378,0,the event sucks more than my plane does o-o
379,1,camron saved you you just suck
380,0,idk why ppl pvp just to suck the fun out of it
381,0,i want to go down and fight butt the xp
382,0,summarizing history sucks sm :'(
383,0,also this tag sucks I need a upgrade
384,0,why are villagers such a butt in the pain
385,0,u sucha pain in the butt
386,0,Breaking news IShowSpeed sucks toes
387,0,&9&lHey there! Get you butt over to /pw NewPlayers &3&lWe got great xp grinders and great profit shops! We also sell a variety of items to help you get started!
388,0,"yeah, it sucks when your inventory is full"
389,1,and im on mobile u suck man
390,0,i suck at making it look fancy
391,0,sg spawners suck so bad ngl
392,0,you suck at lava casting
393,0,"lava thats 500 cosmetic coins, they suck"
394,0,ok but i suck at building so can you build it?
395,0,yeah i suck at bbuilding
396,0,ive been abusing the power thats been given to me a butt load of claim blocks and the ability to steal abandoned bases
397,0,Yeah but chickens just suck tbh
398,0,Wow I suck at parkour
399,0,I suck at using that too
400,1,dam i suck at spelling
401,0,ima swap bedrock clients they suck but they somethging atleast brb
402,0,am playboy big then u
403,1,damn this dj sucks balls bruh
404,0,can i lend somebody fish rod the skin rod is suck
405,1,farming 1.9million concrete and concrete p0wder is gonana suck
406,0,i suck at pvp so bad
407,0,i suck at making cool houses lol
408,0,ive sold it mostly since jungle wood lowkey sucks
409,0,yea just bit easier i suck
410,0,"that sucks agent, what do you try typing?"
411,0,_LucasPower7477 u suck hard xD
412,0,itzlyv why do i suck
413,0,prot 5 and sharp 7 suck
414,0,but when someone is using it it sucks
415,0,someone else can have this i suck at building houses
416,0,i suck at building houses
417,0,im not making pool i suck
418,0,i suck at pvp now btw
419,0,Yung Bratz - xxx das good pvp song
420,0,release radar sucks fr fr
421,0,void ingot sucks in pvp if there a good player i need my resistance
422,0,rap caviar playlist sucks fr fr
423,0,u know its rude to butt in into someone's convo u were angry when someone butt in into someone's convo so dont try butting in again RX
424,0,golem sucks sniffer kinda boring rascal OP
425,0,even i suck at building
426,0,can i get a refund for my coins i dont like the pic skin on my void pic it sucks now
427,0,sac better get his butt back online
428,0,_Thomasvigus it does my hoe went poof a while ago and lunar gave it back xD
429,0,so yes items can go poof xd
430,0,i suck at playing echo lol
431,0,book shops suck for money thats why
432,0,humpy it sucks you kicked our azz in dat tourney
433,0,[[EASTER PICKAXE] x 1] it sucks that it's only 3x3
434,0,im suck at building xD
435,0,nvm iron armor sucks xd
436,0,Is there a town or something I could join? Honestly being alone sucks
437,0,"is there a town or something I could join, being alone honestly sucks"
438,0,Anyone have a team or something I coupd join? Being by myself sucks.
439,1,also not from volendam bcs thats also incest
440,0,i suck at building too
441,0,xx no i sold it long time ago lol
442,0,btw i suck at parkour
443,0,people on survival said earth is suck X)
444,0,btw baxz u watch some video about hardcore right?
445,0,i won weird you suck
446,0,I got victory by itching my butt
447,0,im suck at pvp so.. i lost all my heart at lifesteal X)
448,0,lets go to hypixel and 1v1 i suck at pvp there
449,0,u suck at sowrd using axe L
450,0,bottle o enchating sucks dystopia
451,0,that grinder kinda sucks lamo
452,0,this is why thorn pvp suck
453,0,it sucks when you are bad
454,0,those movies suck so bad
455,0,and daily crate is going to poof in 24h use all keys you have
456,0,what you mean by poof
457,0,why are the daily crates going poof?
458,0,only 1 diamond that sucks
459,0,suck it i suck at luck
460,0,everyone in minecraft that is not in hardcore or at under 9 health in lifesteel has 9 lives
461,0,darkcoder your weapon sucks wanna have a good one
462,0,@7ammeedo stop using helt pots and regun 5 or u sucks
463,0,someoen please help the staff kinda suck ngl
464,0,sucks how speed got his second warning
465,0,at least i can handle my butt burning
466,0,how do you get a hopper to suck the item up
467,0,then it all went poof
468,0,brook lets snatch some villagers
469,0,it sucks but im trying
470,0,i think ima win the build comp my build looking mad sexy
471,0,this server sucks i wont play it ever again lol
472,0,Iamm bryaden the servers doesnt suck you suck dont hate the game hate the player
473,0,i feel the sexy free stuff touch me
474,0,what will u give for Xd no sucks
475,1,then i maget you a better base your sucks XD
476,0,sucks when u need 67k xp to pass a lvl
477,0,say it with me rules suck
478,1,im a pain in the butt for u lilnut
479,0,I can drop og cars butt
480,0,went to snatch the sell wand rq and he has UWU on patrol
481,0,phoenix my aim sucks so ur lucky
482,0,My pvp record 0-7 i suck
483,0,This new word crap suck
484,0,like i suck at pvp i cant fight anyone here
485,0,even tho i suck at restock systems
486,0,answer me or you have spices in the butthole
487,0,#krishna has spices in the butthole
488,0,bruh plaz please dont say that i suck at elytra flying
489,0,because i do suck at it
490,0,"trust me, talking to them in a pain in the butt"
491,0,ok I actually suck at flying tgis thing
492,0,MY wings are cursed or i just suck
493,0,butt i am building u
494,0,thats literally impossible for me my sword sucks
495,0,spooky shovel and axe sucks ngl
496,1,god damn maybe we suck if we compare against jynx-
497,0,but i suck if we compare me to an ant lol
498,0,wanna suck more? try using f5 xd i cant kill someone in f5 mode
499,0,Thats sucks i didnt get one
500,0,"I mean yeah sure, I suck at pvp but I just wanted to do it for the fun of it, not to get jumped rip"
501,1,don't insult me because uour houe is butt cheeks
502,0,badboyhalo aka badboIhalo will slap his butT crackers and he will fly to pluto
503,0,math still sucks but it worked this time
504,0,sun e were in the desert grass sucks
505,0,dam void pick with skin on it still sucks
506,0,its so little and its sucks
507,0,it sucks cus i keep getting banend for nothing
508,0,mine sucks comapred to it lool
509,0,im not that dumb- ik beetroots suck
510,0,playing on mobile sucks lmao
511,1,why u want his boobs
512,0,If my breath smelt like lunars butt i could win
513,0,tbh I suck at the onces with more words
514,0,"Yeah, Ik about voting sites, which sucks"
515,0,it suck lose money to glitch
516,0,butt i git something really expensive for really cheap
517,0,come down inferna let's pvp my gear sucks
518,0,it suck losing 400m to a glitch
519,0,naw check my java the 750mil I transfered just poof back to 100k
520,0,oh that sucks guessing your pretty tired?
521,0,oh that sucks I was gonna buy it but ig I wont now lol
522,0,Xx do /pay sleep 1000
523,0,i join hardcore and j got keys there
524,0,im legit trying to find where i live so i can make my house lol but i suck at reading maps XD
525,0,x3x broken can i join your town thing i dont like living alone it sucks
526,0,nth much im pretty tired i think I'll take a nap when you go butt I wanna build a park you have a plot thats not being used?
527,0,hey look u butt is nice
528,0,i have a rod but it sucks
529,0,oh yeah it seems cool butt isk if i wanna move lol
530,0,i sugest never getiing back injections they suck
531,1,not a waden up my butt
532,1,"if u think i ruined xp farms, you shit hit esc, click singleplayer, then click on start new creative world"
533,0,jesus iam seing darkness butt
534,0,welp thats sucks doesnt it
535,0,I'm sexy type yes or no
536,0,no one dream smp suck
537,0,bruh my wifi super good but my laplap conention sucks
538,0,guys i have 3 year old hardcore world but i kind uh die
539,0,that was a sexy combo
540,0,"alright i kinda sucks at math, you pay 120m upfront, then i will give u my harvest until 120m worth if it is reached"
541,0,"instead of sucking whatever that i thrown upon it, it will suck whatver that is in the same chunk as the chunk hopper"
542,0,time to mute ya butt
543,0,well i was right pvp does suck i go back there in 2 months
544,1,help someone is raping me
545,0,the axolotls are having a orgy
546,0,go to grinder warps xx
547,0,Utile this sucks because me and reester started on the same time and started at the same place
548,0,"spending 100,000,000 on barrior blocks is gonana suck :L"
549,0,bro u spam clicking and still suck
550,0,i suck at bulding im a redstone person not a builder
551,0,greech language sucks frfr :'(
552,0,You plays the chounk hopper on a chunk and it will suck up all things in that claim that you put in its filter  Humanhades
553,0,i worked my butt off getting oned
554,0,bruh i can vote at 1am that sucks
555,0,10m for boom stick this thing is sucks butt
556,0,"alrighty, as much as that sucks and i wish you the best please take this topic to dms guys"
557,0,"Lmao i wouldve sold u mine for like 5m they suck, plus i have like 3 pw that have sets of em lmao"
558,1,yeah haha PorousZero u suck
559,1,PorousZero is a stink cause he is a poopy butt hahahaa
560,0,if i had a hardcore mod on and i die here
561,0,aw i suck at the reactions
562,0,i suck at block art tho
563,1,what you think i have a nice butt?
564,0,lool i suck 1 sec lemme get better stuff
565,0,tab xx can you breK spawner and get it
566,0,oh that sucks i hope she feels better soon john
567,0,cuz i have some sexy pic of u 2 together >:)
568,1,i just spent 56trillion on leen production pls buy my dad is a sexy women
569,0,thats sucks im so sorry
570,0,sucks how much was it worth
571,0,bro this armor sucks lol its already 1/4 broken
572,0,this guy jynx sucks on pvp
573,0,i suck compared to them
574,0,ur prices are sorta butt thooo
575,0,"I sold my pillaging staff, and particle sword, they kinda suck ngl"
576,0,sucks to be a bedrock and pe player if you wanna grind exp with a exp lantern
577,0,man grinding xp sucks after update
578,0,i should be at rank 9 but i suck at voting 24/7
579,0,F this vote crate my luck sucks
580,0,the translater sucks i guess
581,0,get yo butt in the church
582,0,nah im single and sexy you maried
583,0,Anyone need to go to a certain country or state i will escort
584,0,And ik rgb armor sucks
585,0,bro xxx's mom is getting it in with paly boy cartis booking person
586,0,having to build these big arenas suck xD
587,0,russia doesnt suck (sorry for caps)
588,0,we r going to start planning once blake gets his butt online
589,0,those suck i need regen
590,0,[P0WERED Thinks your sexy x 1] going into the 2nd phase
591,0,butt you do learn uhm-
592,0,yea well life sucks ok
593,0,i sent nsfw pictures not knowing they were nsfw
594,0,imagine if you snatch a cupid axe from someone
595,0,he said rx sucks and that no one likes him how is shut up worse than that
596,0,xp is sucha pain in the butt now
597,0,some ppl has their brain in their butt
598,0,Cant ask questions anymore without someone getting butt hurt lmfao
599,0,idk what kind of gingerbread house that is but it sucks
600,0,"tractor kinda sucks on mobile, thinking of selling my vehicles tbh"
601,0,_SCarlett1908 saying xx ain't helpful lmao
602,0,it does kinda suck doing restocks for my potion shop tho
603,0,@tryndie U suck at pvp
604,0,get ur butt down here
605,0,u gotta snatch it from ah
606,0,ah sorry but i can't i suck at building and decor
607,0,I said no u mong how isnt that allowed
608,0,"imagine being in Lunars' place, getting messaged by everyone. must suck"
609,0,"hey can a mod help escort someone from my base lol, I think my base crashed him cuz hes on mobile and might keep crashing on login kik"
610,0,POV: u lost ur hardcore bc of wardens
611,0,this crate sucks so bad
612,0,100m per week soirta sucks
613,0,_Drippyboyjaden1 fishing sucks to get money
614,0,Prince ur pvp sucks more then your confidance
615,0,my sword sucks :( [PVP x 1]
616,0,i dont have access to tit
617,0,frog you seem like your keyboard sucks not like a child
618,0,i found love and it kicked my in the butt
619,0,it really sucks cause the only reason i was inactive is my car's motor blew
620,0,you just poof out of pvp
621,0,Barbarically yah i am suck
622,0,Make ur own lazy mong
623,0,you will suck the items if you drop them
624,0,does anyone else suck at pvp
625,0,I want the pandora kit just to be rich now its gone i cant be. It sucks
626,0,xp still sucks from spawners
627,0,that sucks so trying to get xp is kina pointless
628,0,I suck at building though
629,0,the hope is that everyone else sucks so i can suck just a lil less than yall and win
630,0,this sucks i only need 1dia to get full set dia armor
631,0,boom stick sucks for me
632,0,Winner take all events kinda suck tbh
633,0,I rreally fish all day in game and suck at it
634,0,I dont use mine cause it suck for me
635,0,you're the one who sucks
636,0,rxrxx xxx u broke my boots
637,0,i just suck at interior
638,0,p2w servers can suck my @55
639,0,chat sucks cant even type anything anymore
640,1,Is buttcheeks one word or should it be spread apart
641,0,U get ur butt up here
642,1,bugsonshrooms called someone mommy that must have made them extremly uncomfertable and could be considered sexual assual
643,0,i jus wanna know what is op and what sucks lmao
644,0,"Yea i need to make my sword unbreakable tho that sucks, any way to do that?"
645,0,also zom i suck at PVP so uh yeah smh
646,0,Biden sucks Trump is our only hope :)
647,1,uwu girls sucks who with me
648,1,my brother is anoying (penis)
649,0,i suck at these things
650,0,uhh i suck at placing lo
651,0,i suck at this im broke i have nothing and i lost my gold shovel
652,0,ty I jsut suck at redstone hoppers
653,0,dam I really do suck at redstone
654,0,ngl I will never get caught by the irs because they suck at thier JOBS XD!!
655,0,what lol hows saying ur prices suck not nice
656,1,mrblue said the b word and suck my d on vc
657,0,can someone tp and show me how to make a xp grinder I suck at making them and I will pay u
658,0,i mean snowmans kinda suck the other ones better
659,1,pee pee in butt hole
660,0,someone has a super magnet on their butt lol
661,0,"-_- nice, my dolphins went poof."
662,1,[[ICE WAND] x 1] im so damn sexy
663,0,Suck smasher guess thats your farm huh?
664,0,"ok ion even gone lie kenzie ur faces make me dead asl, im laughin my butt off atm XD"
665,0,Pot of Gold+ Kinda suck ngl
666,1,up sumones butt and around the corner
667,0,"but not any farting horse, one that shoots rainbows out its butt"
668,0,my wifi sucks so bad rn
669,0,septiva u suck without regen v
670,0,"I said MOST people suck thats because Im litterally least like out of 700 peopl at my highschool so, ofc I hate everyone and trust no one"
671,0,Yo if u think i suck say pie:D
672,0,whats wrong with saying aquaxo sucks
